ID,Label,Parent,Equivalent Class,has characteristic,Definition,term editor,has cross-reference
OLAS:3699151,129-Cckar<tm1Kpn> Cckbr<tm1Kpn>/J,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3699151
OLAS:3699157,129-Cckar<tm1Kpn>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3699157
OLAS:3699158,129-Cckbr<tm1Kpn>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3699158
OLAS:4940541,129-Ccr1<tm1Cge>/Apb,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:4940541
OLAS:2161523,129-Cd5<tm1Cgn>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2161523
OLAS:2164596,129-Cdkn1b<tm1Mlf>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164596
OLAS:6122309,129(C)-Eif2ak2<tm1Jcbe>/Cnbc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6122309
OLAS:5563536,129(Cg)-Atoh7<tm1.1(Ascl1)Nlbr>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5563536
OLAS:5572952,129.Cg(B6)-Whrn<wi>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5572952
OLAS:6147302,129.Cg-Braf<tm1Tumg>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6147302
OLAS:6147066,129(Cg)-Cilk1<tm1.1Tfru>/Rbrc,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6147066
OLAS:5904836,129(Cg)-Clcn7<tm2.1Mjec>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5904836
OLAS:5296810,129.Cg-Ddc<tm1.1Rhrs> Tg(Ggt1-cre)M3Egn,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5296810
OLAS:7607849,129.Cg-Dlk1<tm1.1Stadt>/Mmnc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7607849
OLAS:7607847,129.Cg-Dlk1<tm2.1Stadt>/Mmnc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7607847
OLAS:5286074,129.Cg-Esrrg<tm1Rev>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5286074
OLAS:3579854,129.Cg-Foxp3<sf>/H,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3579854
OLAS:6114040,129(Cg)-Gt(ROSA)26Sor<tm1(CAG-EGFP*)Bpeng>/J,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6114040
OLAS:7768125,129(Cg)-Gt(ROSA)26Sor<tm5(CAG-Sun1/sfGFP)Nat>/CdnyJ,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:7768125
OLAS:5897667,129.Cg-Kras<tm4Tyj> Tg(Tpo-cre)1Shk Pten<tm2.1Ppp>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5897667
